frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Nov  2, 2020 19:30:03.297909000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"2","Nov  2, 2020 19:30:04.118462000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"3","Nov  2, 2020 19:30:04.323887000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"4","Nov  2, 2020 19:30:05.347264000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5","Nov  2, 2020 19:30:07.192473000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6","Nov  2, 2020 19:30:08.214483000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"7","Nov  2, 2020 19:30:09.237029000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"8","Nov  2, 2020 19:30:10.264774000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"9","Nov  2, 2020 19:30:10.264774000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"10","Nov  2, 2020 19:30:11.286527000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"11","Nov  2, 2020 19:30:11.290033000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"12","Nov  2, 2020 19:30:11.490603000 Eastern Standard Time","b0:be:76:db:c4:c8","ff:ff:ff:ff:ff:ff",,,
"13","Nov  2, 2020 19:30:13.131630000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"14","Nov  2, 2020 19:30:14.153955000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"15","Nov  2, 2020 19:30:15.176251000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"16","Nov  2, 2020 19:30:16.201953000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"17","Nov  2, 2020 19:30:16.205151000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"18","Nov  2, 2020 19:30:17.225734000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"19","Nov  2, 2020 19:30:17.229096000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"20","Nov  2, 2020 19:30:18.248282000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"21","Nov  2, 2020 19:30:19.275618000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"22","Nov  2, 2020 19:30:20.297613000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"23","Nov  2, 2020 19:30:22.142909000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"24","Nov  2, 2020 19:30:23.165342000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"25","Nov  2, 2020 19:30:24.187410000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"26","Nov  2, 2020 19:30:25.214947000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"27","Nov  2, 2020 19:30:25.214948000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"28","Nov  2, 2020 19:30:26.241825000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"29","Nov  2, 2020 19:30:26.241827000 Eastern Standard Time","24:f5:a2:bf:1a:48","ff:ff:ff:ff:ff:ff",,,
"30","Nov  2, 2020 19:30:28.284996000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"31","Nov  2, 2020 19:30:29.313275000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"32","Nov  2, 2020 19:30:31.152131000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"33","Nov  2, 2020 19:30:32.176537000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"34","Nov  2, 2020 19:30:34.224185000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"35","Nov  2, 2020 19:30:35.248394000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"36","Nov  2, 2020 19:30:37.296226000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"37","Nov  2, 2020 19:30:38.320191000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"38","Nov  2, 2020 19:30:40.163430000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"39","Nov  2, 2020 19:30:41.187818000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"40","Nov  2, 2020 19:30:42.210016000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"41","Nov  2, 2020 19:30:43.031375000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"42","Nov  2, 2020 19:30:43.237180000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"43","Nov  2, 2020 19:30:44.053205000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"44","Nov  2, 2020 19:30:44.261464000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"45","Nov  2, 2020 19:30:46.308274000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"46","Nov  2, 2020 19:30:47.331322000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"47","Nov  2, 2020 19:30:49.174443000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"48","Nov  2, 2020 19:30:50.198488000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"49","Nov  2, 2020 19:30:52.246490000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"50","Nov  2, 2020 19:30:53.272421000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"51","Nov  2, 2020 19:30:54.909615000 Eastern Standard Time","68:ff:7b:55:a4:57","ff:ff:ff:ff:ff:ff",,,
"52","Nov  2, 2020 19:30:55.115845000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"53","Nov  2, 2020 19:30:56.342670000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"54","Nov  2, 2020 19:30:58.185863000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"55","Nov  2, 2020 19:30:59.209878000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"56","Nov  2, 2020 19:31:01.259882000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"57","Nov  2, 2020 19:31:02.283978000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"58","Nov  2, 2020 19:31:04.128016000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"59","Nov  2, 2020 19:31:05.353878000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"60","Nov  2, 2020 19:31:07.197098000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"61","Nov  2, 2020 19:31:08.221340000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"62","Nov  2, 2020 19:31:10.269148000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"63","Nov  2, 2020 19:31:11.293140000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"64","Nov  2, 2020 19:31:13.138383000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"65","Nov  2, 2020 19:31:14.160607000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"66","Nov  2, 2020 19:31:16.210196000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"67","Nov  2, 2020 19:31:17.232500000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"68","Nov  2, 2020 19:31:18.254798000 Eastern Standard Time","68:ff:7b:36:62:b6","ff:ff:ff:ff:ff:ff",,,
"69","Nov  2, 2020 19:31:19.282280000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"70","Nov  2, 2020 19:31:20.304684000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"71","Nov  2, 2020 19:31:22.149539000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"72","Nov  2, 2020 19:31:23.171606000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"73","Nov  2, 2020 19:31:25.221618000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"74","Nov  2, 2020 19:31:26.243619000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"75","Nov  2, 2020 19:31:27.268205000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"76","Nov  2, 2020 19:31:28.294871000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"77","Nov  2, 2020 19:31:28.294872000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"78","Nov  2, 2020 19:31:29.317113000 Eastern Standard Time","2c:64:1f:03:27:9a","ff:ff:ff:ff:ff:ff",,,
"79","Nov  2, 2020 19:31:29.319053000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"80","Nov  2, 2020 19:31:30.752671000 Eastern Standard Time","2c:64:1f:03:27:9a","01:00:5e:00:00:fb","192.168.11.103","224.0.0.251","17"
"81","Nov  2, 2020 19:31:30.757864000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"82","Nov  2, 2020 19:31:31.158832000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"83","Nov  2, 2020 19:31:32.182789000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"84","Nov  2, 2020 19:31:34.230833000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"85","Nov  2, 2020 19:31:35.254832000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"86","Nov  2, 2020 19:31:37.303188000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"87","Nov  2, 2020 19:31:37.511205000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"88","Nov  2, 2020 19:31:37.515551000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"89","Nov  2, 2020 19:31:37.519452000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"90","Nov  2, 2020 19:31:37.519453000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
