frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Sep 30, 2020 21:10:02.016479000 Eastern Daylight Time","e0:89:7e:6c:25:34","ff:ff:ff:ff:ff:ff",,,
"2","Sep 30, 2020 21:10:02.222739000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"3","Sep 30, 2020 21:10:03.041930000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"4","Sep 30, 2020 21:10:05.090136000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5","Sep 30, 2020 21:10:06.114149000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6","Sep 30, 2020 21:10:08.162256000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"7","Sep 30, 2020 21:10:09.186119000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"8","Sep 30, 2020 21:10:11.234129000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"9","Sep 30, 2020 21:10:12.053307000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"10","Sep 30, 2020 21:10:14.099203000 Eastern Daylight Time","68:ff:7b:36:62:b6","ff:ff:ff:ff:ff:ff",,,
"11","Sep 30, 2020 21:10:14.102275000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"12","Sep 30, 2020 21:10:15.125409000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
