frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"5205","Nov  5, 2020 19:26:30.024156000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5206","Nov  5, 2020 19:26:30.638266000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5207","Nov  5, 2020 19:26:32.890946000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5208","Nov  5, 2020 19:26:33.710519000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5209","Nov  5, 2020 19:26:35.967306000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5210","Nov  5, 2020 19:26:36.577812000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5211","Nov  5, 2020 19:26:39.035355000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5212","Nov  5, 2020 19:26:39.651836000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5213","Nov  5, 2020 19:26:41.902565000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5214","Nov  5, 2020 19:26:42.721761000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5215","Nov  5, 2020 19:26:44.974642000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5216","Nov  5, 2020 19:26:45.588976000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5217","Nov  5, 2020 19:26:48.046598000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5218","Nov  5, 2020 19:26:48.660999000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5219","Nov  5, 2020 19:26:50.913788000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5220","Nov  5, 2020 19:26:51.733337000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5221","Nov  5, 2020 19:26:51.735980000 Eastern Standard Time","68:ff:7b:55:a4:57","ff:ff:ff:ff:ff:ff",,,
"5222","Nov  5, 2020 19:26:53.989929000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5223","Nov  5, 2020 19:26:54.600232000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5224","Nov  5, 2020 19:26:57.057494000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5225","Nov  5, 2020 19:26:57.671973000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5226","Nov  5, 2020 19:26:59.925044000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5227","Nov  5, 2020 19:27:00.744251000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5228","Nov  5, 2020 19:27:02.997044000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5229","Nov  5, 2020 19:27:03.612440000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5230","Nov  5, 2020 19:27:06.070732000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5231","Nov  5, 2020 19:27:06.683455000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5232","Nov  5, 2020 19:27:08.936318000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5233","Nov  5, 2020 19:27:09.755443000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5234","Nov  5, 2020 19:27:12.008020000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5235","Nov  5, 2020 19:27:12.622706000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5236","Nov  5, 2020 19:27:14.875495000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5237","Nov  5, 2020 19:27:15.694688000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5238","Nov  5, 2020 19:27:17.950147000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5239","Nov  5, 2020 19:27:18.766695000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5240","Nov  5, 2020 19:27:21.019603000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5241","Nov  5, 2020 19:27:21.633921000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5242","Nov  5, 2020 19:27:21.837001000 Eastern Standard Time","68:ff:7b:55:9f:aa","ff:ff:ff:ff:ff:ff",,,
"5243","Nov  5, 2020 19:27:23.886968000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5244","Nov  5, 2020 19:27:24.705901000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5245","Nov  5, 2020 19:27:26.958733000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5246","Nov  5, 2020 19:27:27.572822000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5247","Nov  5, 2020 19:27:30.030108000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5248","Nov  5, 2020 19:27:30.645154000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5249","Nov  5, 2020 19:27:32.897964000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5250","Nov  5, 2020 19:27:33.717186000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
