frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"6022","Oct  7, 2020 21:54:46.185196000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6023","Oct  7, 2020 21:54:47.411321000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6024","Oct  7, 2020 21:54:48.024309000 Eastern Daylight Time","b0:be:76:db:bd:87","ff:ff:ff:ff:ff:ff",,,
"6025","Oct  7, 2020 21:54:49.256561000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6026","Oct  7, 2020 21:54:50.483610000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6027","Oct  7, 2020 21:54:52.123364000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"6028","Oct  7, 2020 21:54:52.129976000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"6029","Oct  7, 2020 21:54:52.132031000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"6030","Oct  7, 2020 21:54:52.139648000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"6031","Oct  7, 2020 21:54:52.326296000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6032","Oct  7, 2020 21:54:52.330382000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"6033","Oct  7, 2020 21:54:52.334480000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"6034","Oct  7, 2020 21:54:52.546828000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"6035","Oct  7, 2020 21:54:52.548969000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
"6036","Oct  7, 2020 21:54:52.737246000 Eastern Daylight Time","e0:89:7e:6c:25:34","01:00:5e:00:00:fb","192.168.11.129","224.0.0.251","17"
"6037","Oct  7, 2020 21:54:52.741067000 Eastern Daylight Time","e0:89:7e:6c:25:34","33:33:00:00:00:fb",,,
